"Fmsy" "fnames" "M" "Umsy" "Bmsy" "wInf" "t0" "wMat" "aMat" "k"
"273" 0.1171 "PACBTUNA" NA 0.069039391 203931.0772 NA NA NA NA NA
"274" NA "PANCHCHVX" NA NA NA NA NA NA NA NA
"275" NA "PANCHNCH" NA NA NA NA NA NA NA NA
"276" NA "PANCHPERUNC" NA NA 6e+06 40 NA NA NA NA
"277" NA "PANCHSCH" NA NA NA NA NA NA NA NA
"278" NA "PANDALGOM" 0.25 NA NA 436.14208 0 NA NA NA
"279" NA "PATGRENADIERCH" NA NA NA NA NA NA NA NA
"280" 0.3294 "PATGRENADIERSARG" 0.3 0.2058 642031 3364.05286927462 -0.778 603.751073912893 3.59 0.248
"281" 0.510000003 "PAUANPAU5A" 0.18 0.51 123.5294118 NA NA 90.9182526832357 NA NA
"282" NA "PAUAPAU5B" NA NA NA NA NA NA NA NA
"283" NA "PAUAPAU5D" NA NA NA NA NA NA NA NA
"284" 0.330000005 "PAUAPAU7" 0.14 0.33 654.5454545 NA NA 55.918937176085 NA NA
"285" 0.210000007 "PAUASPAU5A" 0.12 0.21 234.2857143 NA NA 90.9182526832357 NA NA
"286" NA "PCEELCH" NA NA NA NA NA NA NA NA
"287" 0.34 "PCODBSAI" NA NA NA 11350 NA NA NA NA
"288" 0.69 "PCODGA" 0.38 NA NA 11350 NA NA NA 0.17
"289" 0.354 "PCODHS" 0.567 NA 8861 7164.36867392 NA NA NA NA
"290" 0.226 "PCODWCVANI" 0.579 NA 6731 7164.36867392 NA NA NA NA
"291" 0.074 "PERCHEBSAI" 0.062 NA NA 938.981839308807 -1.525 NA NA 0.14
"292" NA "PGEODWA" NA NA NA NA NA NA NA NA
"293" 0.259 "PHAKEPCOAST" 0.213 0.345 NA 595 NA NA NA 0.2
"294" NA "PHALNPAC" NA NA NA 181500 NA NA NA NA
"295" NA "PILCHPJPN" 0.4 NA NA NA NA NA NA NA
"296" NA "PILCHTSST" NA NA NA NA NA NA NA NA
"297" NA "PINKSHRIMPGM" NA NA NA NA NA NA NA NA
"298" NA "PLAIC7d" 0.1 NA NA 3500 NA NA NA NA
"299" NA "PLAICCELT" 0.12 NA NA 3500 NA NA NA NA
"300" 0.31 "PLAICECHW" 0.12 NA NA 3500 NA NA NA NA
"301" NA "PLAICIIIa" 0.1 NA NA 3500 NA NA 2 0.12
"302" NA "PLAICIS" 0.12 NA NA 3500 NA NA NA NA
"303" 0.25 "PLAICNS" 0.1 NA NA 3500 NA NA NA 0.12
"304" 0.25 "POLL4VWX5" NA NA NA 16000 NA NA NA 0.17
"305" 0.25 "POLL5YZ" NA NA NA 16000 NA NA NA 0.17
"306" 0.28 "POLLFAPL" NA NA NA 16000 NA NA NA NA
"307" 0.28 "POLLIEG" NA NA NA NA NA NA NA NA
"308" NA "POLLNEAR" NA NA NA 16000 NA NA NA 0.164
"309" 0.3 "POLLNS-VI-IIIa" NA NA NA 16000 NA NA NA 0.175
"310" 0.142 "POPERCHGA" 0.06 0.084925585 NA 984 0.47 2.54739986115369 10.5 0.19
"311" NA "POPERCHPCOAST" 0.05 NA NA 1050 NA NA 6 0.16
"312" NA "PSHRMPMEDGSA6" NA NA NA NA 0.1 NA NA 0.44
"313" NA "PSOLEPCOAST" 0.2 0.22 NA 1401 -1.33 NA NA 0.17
"314" NA "PTOOTHFISHCH" NA NA NA NA NA NA NA NA
"315" 0.0580997 "PTOOTHFISHMI" 0.13 0.121928961 NA 74262.88351 -1.184 NA NA 0.038
"316" 0.12 "PTOOTHFISHPEI" 0.13 NA NA 35118.08 -1.49 NA NA 0.067
"317" NA "QUAHATLC" 0.02 NA NA NA NA NA 19 NA
"318" NA "RBRMECS" 0.125 NA NA NA NA NA NA NA
"319" NA "RBRMMEDGSA1-3" 0.2 NA NA 2383.28 -1.23 NA NA 0.17
"320" NA "RBRMSETOE" 0.24 NA NA NA NA NA NA NA
"321" NA "RBRMSETOW" 0.24 NA NA NA NA NA NA NA
"322" NA "RDEEPCRABNWATL" NA NA NA NA NA NA NA NA
"323" NA "RDSHRMPMEDGSA6" 0.46 NA NA NA -0.065 NA NA NA
"324" NA "REDDEEPI-II" NA NA NA 975.5 NA NA 13 NA
"325" NA "REDFISHSPP1" NA NA NA NA NA NA NA NA
"326" NA "REDFISHSPP23K" NA NA NA NA NA NA NA NA
"327" 0.172 "REDFISHSPP3LN" NA 0.172233968 141900 NA NA NA NA NA
"328" NA "REDFISHSPP3M" 0.1 NA NA NA NA NA 14.5 NA
"329" NA "REDFISHSPP3Pn4RSTVn" NA NA NA NA NA NA NA NA
"330" 0.17 "REXSOLEGA" 0.17 NA NA 1000 NA NA NA NA
"331" 0.045 "REYEROCKBSAI" 0.034 NA NA 1405.26895599 -5.15 NA 19 0.05
"332" 0.048 "REYEROCKGA" 0.034 NA NA 2311 0.08 NA 19 NA
"333" 0.22 "RGROUPGM" 0.14 NA NA 11500 NA NA NA NA
"334" 0.22 "RGROUPSATL" 0.14 NA 3680 6098.00192 -0.7 NA NA 0.21
"335" NA "RHERRTSST" 0.7 NA NA NA NA NA NA NA
"336" NA "RKCRABBB" NA 0.33 NA NA NA NA NA NA
"337" NA "RKCRABNS" NA NA NA NA NA NA NA NA
"338" NA "RKCRABPI" 0.18 NA NA NA NA NA NA NA
