"V1" "V2" "V3" "V4" "V5" "V6"
"130" 138303.847157338 1397.03887817647 18421.9948160469 29300.2643183232 0 0
"131" 129421.499548254 696.494825043251 18425.209962933 29285.2579655425 0 0
"132" 118646.098016481 257.101316067797 18421.0799094933 29267.8907010446 0 0
"133" 106090.74434423 65.7967522822877 18411.0973010804 29248.4663001006 0 0
"134" 91881.3558665043 11.2596464658373 18397.8268513784 29227.7821367806 0 0
"135" 76097.5216600066 1.27680599851744 18382.9029043643 29206.3325467224 0 0
"136" 0 0 18679.0905594599 29172.854769459 0 0
"137" 79628.9291807101 254.859113151609 18694.1145369666 29082.6629137423 0 0
"138" 116356.678256819 2547.66087564181 18572.4509961994 28943.8137188673 0 0
"139" 136718.813484789 3821.22209528846 18574.8747927756 28894.5434924608 0 0
"140" 147715.927474218 4191.56108112038 18594.9974595255 28867.7997785227 0 0
"141" 152542.707491096 4136.12046358561 18613.9917202078 28846.7009464926 0 0
"142" 153206.375643141 3746.78510801178 18631.6008423886 28828.792801691 0 0
"143" 150834.205696462 3094.65305067589 18647.6353182397 28812.6950002661 0 0
"144" 146045.041022561 2275.89025976867 18661.0760951064 28797.2690480254 0 0
"145" 139150.645427943 1427.97000620279 18670.0759198799 28781.4743470111 0 0
"146" 130284.328201941 717.477929489447 18672.5007276947 28764.3962512883 0 0
"147" 119522.761255942 267.597566367051 18667.4120854907 28745.5250454699 0 0
"148" 106977.07898431 69.3299370418002 18656.272568355 28725.0617115684 0 0
"149" 92774.2044878307 12.0233369949796 18641.7146909157 28703.6042719194 0 0
"150" 76995.1693401409 1.38225226803936 18625.4496686545 28681.5019088947 0 0
"151" 0 0 18750.4151282345 28411.3726963948 0 0
"152" 80115.9908709522 277.670656159435 18752.1706005707 28304.597994054 0 0
"153" 116997.245865896 2606.83035217394 18620.6551408273 28164.4273794819 0 0
"154" 137524.27858655 3850.46524223934 18620.4508357097 28111.2360850369 0 0
"155" 148588.055310976 4222.48014846972 18637.7915597419 28078.8461525475 0 0
"156" 153452.582842758 4171.22828728253 18654.5385276161 28052.7982892298 0 0
