"V1" "V2" "V3" "V4" "V5" "V6"
"1784" 202111.536067491 367010.0638073 305402.438248859 627697.354564505 155454.576326305 4586706.60875972
"1785" 175686.811114729 325084.079405657 306226.118460114 628981.915006877 155681.542033281 4592261.60945977
"1786" 890763.219867843 1063069.75637176 279547.571800704 575941.192576138 151231.001302828 4443953.23408906
"1787" 758652.84615323 945886.289508627 281830.274469641 579542.08948642 152225.28111051 4476267.72788728
"1788" 657115.065482805 857346.531069876 283784.022255293 583252.27505753 152922.420993562 4505066.27398735
"1789" 578763.315852684 788482.258342611 284922.501106404 585614.146256344 153433.256201326 4525828.89426496
"1790" 515808.000238841 732293.011373534 286087.045766702 587689.46461482 153887.193381579 4541695.35133758
"1791" 463483.214821937 683913.870418924 287113.172380214 589547.770767295 154262.825503508 4555030.22126869
"1792" 418969.09788408 640545.677667756 287986.78647065 591142.550790151 154584.650005915 4566218.06594303
"1793" 380114.147747545 600361.317678374 288803.1149188 592582.80584802 154876.805054619 4575754.70401722
"1794" 345365.686973581 562011.976819983 289591.014883233 593937.450602773 155146.789549668 4584161.03815965
"1795" 313611.923213467 524501.38571855 290352.870590711 595227.188310585 155399.248510795 4591741.7753774
"1796" 284007.803278042 487080.069023284 291100.611975322 596470.560644916 155639.959936565 4598680.3791481
"1797" 255891.149429819 449156.898391803 291849.486444025 597690.10950833 155873.742071091 4605128.70052687
"1798" 228737.31245875 410253.818330069 292610.022234292 598904.20578214 156103.788620505 4611214.95865713
"1799" 202122.37079213 369991.556538259 293388.787148942 600125.310963876 156332.346435104 4617035.77880012
"1800" 175695.368291901 328096.314943136 294190.761657463 601362.126992737 156561.157878123 4622659.38780567
"1801" 1111948.79518813 868961.240078963 1188205.2900231 2495230.23269477 102125.589485744 2134083.72042059
"1802" 925205.735288973 799109.851660806 1193048.49731675 2504737.49771318 102921.643685791 2153090.07658148
"1803" 789818.775212775 741033.671072489 1196785.15560122 2511559.6307572 103546.031757943 2167282.1144286
"1804" 687575.952469219 691827.522672086 1199776.74976173 2516916.24959532 104054.283908868 2178115.23050815
"1805" 607680.396992805 647666.818559863 1202361.37350577 2521422.44928279 104489.817585159 2186312.4060122
"1806" 543343.484653526 606208.154846721 1204740.27483208 2525439.93882435 104879.340846202 2192365.1719815
"1807" 490111.322093849 565906.250601223 1207041.68787233 2529197.01760788 105240.52216111 2196606.36307706
"1808" 444953.828605318 525673.76891736 1209353.62694962 2532848.28146482 105585.747273079 2199259.88935034
